Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,Complexity
Downtown Diner,Creator Expert,2480.0,169.99,200.0,508.0,avanserte
Kessel Run Millennium Falcon,Star Wars,1414.0,169.99,208.0,318.0,normale
Temple of Resurrection,NINJAGO,765.0,69.99,144.0,297.0,normale
Rough Terrain Crane,Technic,4057.0,299.99,1527.0,262.0,avanserte
Old Trafford - Manchester United,Creator Expert,3898.0,299.99,368.0,332.0,avanserte
Farm Adventures,DUPLO,104.0,59.99,40.0,42.0,enkle
Mack Anthem,Technic,2595.0,179.99,897.0,253.0,avanserte
Bugatti Chiron,Technic,3599.0,349.99,633.0,306.0,avanserte
Roller Coaster,Creator Expert,4124.0,379.99,440.0,556.0,avanserte
Voltron,Ideas,2321.0,179.99,92.0,471.0,avanserte
Hogwarts Castle,Harry Potter,6020.0,399.99,636.0,624.0,normale
NINJAGO City Docks,NINJAGO,3553.0,229.99,380.0,690.0,normale
Liebherr R 9800,Powered UP,4108.0,449.99,740.0,221.0,avanserte
Betrayal at Cloud City,Star Wars,2812.0,349.99,388.0,676.0,normale
Imperial Star Destroyer,Star Wars,4784.0,699.99,444.0,445.0,normale
Battle of Endor,Star Wars,197.0,14.99,1.0,40.0,normale
Mini Frame,DOTS,85.0,4.99,2.0,13.0,normale
Creative Picture Frames,DOTS,398.0,19.99,2.0,31.0,normale
Monkie Kid's Delivery Bike,Monkie Kid,22.0,4.99,3.0,18.0,avanserte
Road Worker,City,58.0,3.99,3.0,33.0,normale
Police Water Plane,City,48.0,3.99,3.0,36.0,normale
Arctic Ice Saw,City,43.0,3.99,3.0,34.0,normale
Space Satellite,City,36.0,3.99,3.0,24.0,normale
Beach Buggy,City,45.0,4.99,3.0,29.0,normale
Baby Velociraptor Playpen,Jurassic World,48.0,3.99,3.0,25.0,normale
Olivia's Remote Control Boat,Friends,25.0,3.99,3.0,23.0,normale
Unikitty Roller Coaster Wagon,Unikitty,46.0,3.99,3.0,28.0,enkle
Chocolate Box & Flower,Friends,75.0,4.99,3.0,32.0,normale
Royal Talon Fighter,Marvel,59.0,3.99,3.0,25.0,normale
Rex's Plantimal Ambush,THE LEGO MOVIE 2,32.0,3.99,3.0,23.0,normale
The Guardians' Ship,Marvel,69.0,3.99,3.0,36.0,normale
Poppy's Carriage,Trolls World Tour,51.0,4.99,3.0,30.0,normale
DJ,Star Wars,22.0,4.99,3.0,15.0,normale
Traffic Lights,Xtra,46.0,3.99,3.0,17.0,enkle
Streetlamps,Xtra,34.0,3.99,3.0,24.0,enkle
Ninjago Minifigure Pack,NINJAGO,59.0,12.99,3.0,33.0,normale
Spider-Man and the Museum Break-In,Marvel,49.0,14.99,3.0,33.0,normale
Summer Celebration Minifigure Pack,Minifigures,45.0,12.99,3.0,35.0,enkle
Police MF Accessory Set,Minifigures,42.0,12.99,3.0,33.0,enkle
Fairground Accessory Set,Minifigures,51.0,12.99,3.0,35.0,enkle
Sports Accessories,Xtra,36.0,3.99,3.0,20.0,enkle
Botanical Accessories,Xtra,32.0,3.99,3.0,17.0,enkle
Falcon & Black Widow Team-Up,Marvel,60.0,14.99,3.0,34.0,normale
Spinjitzu Burst - Cole,NINJAGO,48.0,9.99,3.0,31.0,normale
Spinjitzu Burst Lloyd,NINJAGO,48.0,9.99,3.0,30.0,normale
Golden Zane Accessory Set ,NINJAGO,73.0,12.99,5.0,31.0,normale
Stephanie's Play Cube - Beauty Salon,Friends,44.0,9.99,5.0,35.0,normale
Andrea's Jungle Play Cube,Friends,47.0,9.99,5.0,43.0,normale
Stephanie's Jungle Play Cube,Friends,41.0,9.99,5.0,38.0,normale
Olivia's Jungle Play Cube,Friends,51.0,9.99,5.0,42.0,normale
Mia's Jungle Play Cube,Friends,43.0,9.99,5.0,36.0,normale
Obi-Wan Kenobi - Collectable Minifigure,Star Wars,12.0,3.99,6.0,10.0,normale
My First Dinosaur,DUPLO,7.0,3.49,7.0,6.0,enkle
Hogwarts Students Accessory Set,Harry Potter,53.0,14.99,9.0,33.0,normale
My First Balancing Animals,DUPLO,15.0,14.99,9.0,14.0,enkle
Bulldozer,DUPLO,10.0,9.99,12.0,10.0,enkle
Creative Fun,DUPLO,120.0,39.99,13.0,70.0,enkle
Truck & Tracked Excavator,DUPLO,20.0,19.99,16.0,19.0,enkle
Batcave,Batman,33.0,29.99,20.0,25.0,normale
Ariel's Undersea Castle,Disney,35.0,29.99,20.0,27.0,normale
Creative Animals,DUPLO,175.0,59.99,20.0,89.0,enkle
Cute Pug,Creator 3-in-1,68.0,3.99,28.0,32.0,avanserte
Wrecking Ball Demolition,DUPLO,56.0,59.99,32.0,41.0,enkle
Thanksgiving Turkey,BrickHeadz,114.0,9.99,32.0,48.0,normale
Lightning McQueen's Race Day,Disney,42.0,29.99,36.0,32.0,normale
Donald Duck,Disney,90.0,9.99,36.0,42.0,normale
Emma's Pet Party,Friends,67.0,9.99,36.0,50.0,normale
Wonder Woman,BrickHeadz,143.0,9.99,40.0,54.0,normale
Easter Chick,BrickHeadz,120.0,9.99,44.0,50.0,normale
Olaf's Traveling Sleigh,Disney,97.0,12.99,44.0,52.0,normale
Valentine's Bear,BrickHeadz,150.0,9.99,44.0,65.0,normale
Lucky Cat,BrickHeadz,134.0,9.99,44.0,71.0,normale
Birthday Clown,BrickHeadz,150.0,9.99,48.0,77.0,normale
Valentine's Puppy,BrickHeadz,147.0,9.99,48.0,60.0,normale
Dragon Dance Guy,BrickHeadz,170.0,9.99,48.0,72.0,normale
Lady Liberty,BrickHeadz,153.0,9.99,48.0,43.0,normale
Easter Sheep,BrickHeadz,192.0,9.99,48.0,57.0,normale
Wedding Bride,BrickHeadz,306.0,12.99,48.0,101.0,normale
Wedding Groom,BrickHeadz,255.0,12.99,48.0,107.0,normale
Fun Future,Classic,186.0,9.99,49.0,95.0,enkle
Tower Crane & Construction,DUPLO,123.0,129.99,56.0,72.0,enkle
Lucy's Builder Box!,THE LEGO MOVIE 2,141.0,29.99,56.0,71.0,normale
Emmet's Builder Box!,THE LEGO MOVIE 2,125.0,29.99,56.0,76.0,normale
Quantum Realm Explorers,Marvel,200.0,19.99,64.0,100.0,normale
Moana's Island Home,Disney,202.0,29.99,68.0,121.0,normale
People Pack - Space Research and Development,City,209.0,39.99,68.0,146.0,normale
Wu's Battle Dragon,NINJAGO,321.0,19.99,68.0,109.0,normale
Iron Man Armory,Marvel,258.0,29.99,68.0,110.0,normale
Bricks Bricks Bricks,Classic,1500.0,59.99,69.0,327.0,enkle
Marty McFly & Doc Brown,BrickHeadz,240.0,19.99,69.0,73.0,normale
Diagon Alley,Harry Potter,374.0,19.99,72.0,116.0,normale
Dilophosaurus Outpost Attack,Jurassic World,289.0,39.99,72.0,124.0,normale
Ron Weasley & Albus Dumbledore,BrickHeadz,245.0,19.99,73.0,82.0,normale
Battle of Hoth - 20th Anniversary Edition,Star Wars,195.0,14.99,76.0,77.0,normale
Goofy & Pluto,Disney,214.0,14.99,76.0,94.0,normale
Mulan's Training Grounds,Disney,157.0,29.99,76.0,94.0,normale
Funny Octopus Ride,Friends,324.0,39.99,76.0,145.0,normale
Kylo Ren & Sith Trooper,Star Wars,240.0,19.99,76.0,72.0,normale
Owen & Blue,BrickHeadz,234.0,19.99,77.0,82.0,normale
Black Widow's Helicopter Chase,Marvel,271.0,29.99,80.0,125.0,normale
Venom Crawler,Marvel,413.0,29.99,80.0,132.0,normale
Armored Assault Tank (AAT),Star Wars,286.0,39.99,80.0,121.0,normale
Captain Marvel and The Skrull Attack,Marvel,307.0,29.99,80.0,126.0,normale
Mr. & Mrs. Claus,BrickHeadz,341.0,19.99,84.0,109.0,normale
Death Star II Battle,Star Wars,235.0,14.99,84.0,72.0,normale
501st Legion Clone Troopers,Star Wars,285.0,29.99,84.0,125.0,normale
Hoth Medical Chamber,Star Wars,255.0,29.99,84.0,120.0,normale
Sandspeeder,Star Wars,278.0,29.99,84.0,110.0,normale
Bricks and Eyes ,Classic,451.0,29.99,88.0,171.0,enkle
Stephanie's House,Friends,170.0,39.99,92.0,116.0,normale
Emmet's Triple-Decker Couch Mech,THE LEGO MOVIE 2,312.0,29.99,92.0,98.0,normale
Journey to the Skull Dungeons,NINJAGO,401.0,29.99,92.0,164.0,normale
Bespin Duel,Star Wars,295.0,39.99,96.0,121.0,normale
White Dragon Horse Bike,Monkie Kid,259.0,34.99,96.0,134.0,avanserte
"Reindeer, Elf and Elfie",BrickHeadz,281.0,19.99,97.0,116.0,normale
Storm Fighter Battle,NINJAGO,165.0,29.99,100.0,96.0,normale
Bricks and Animals,Classic,1500.0,59.99,101.0,339.0,enkle
Spinning Brushes Car Wash,Friends,325.0,29.99,108.0,174.0,normale
Air Race,City,140.0,39.99,108.0,84.0,normale
Bricks and Lights,Classic,441.0,29.99,109.0,173.0,enkle
Quidditch Match,Harry Potter,500.0,39.99,112.0,205.0,normale
Iron Bull Tank,Monkie Kid,430.0,49.99,124.0,160.0,avanserte
Rainbow Caterbus,Trolls World Tour,395.0,39.99,132.0,170.0,normale
Kai Fighter,NINJAGO,513.0,39.99,132.0,174.0,normale
Jurassic Park Velociraptor Chase ,Jurassic World,360.0,39.99,132.0,195.0,normale
Winter Village Fire Station,Creator Expert,1166.0,99.99,136.0,323.0,avanserte
Fire Stone Mech,NINJAGO,968.0,69.99,136.0,260.0,normale
Death Star Final Duel,Star Wars,775.0,99.99,140.0,241.0,normale
Resistance I-TS Transport,Star Wars,932.0,99.99,140.0,215.0,normale
Bricks Bricks Plates,Classic,1504.0,69.99,144.0,332.0,enkle
TIE Fighter Pilot,Star Wars,724.0,59.99,148.0,155.0,normale
Hedwig,Harry Potter,630.0,39.99,148.0,166.0,normale
Tree House Treasures ,Creator 3-in-1,260.0,29.99,152.0,119.0,avanserte
Monkie Kid's Cloud Jet,Monkie Kid,390.0,59.99,168.0,199.0,avanserte
Zane's Mino Creature,NINJAGO,616.0,49.99,172.0,202.0,normale
James Bond Aston Martin DB5,Creator Expert,1295.0,149.99,173.0,310.0,avanserte
Attack on The Burrow,Harry Potter,1047.0,99.99,180.0,383.0,normale
Police Brick Box,City,301.0,39.99,188.0,162.0,normale
Outback Cabin,Creator 3-in-1,305.0,29.99,196.0,141.0,avanserte
Demon Bull King,Monkie Kid,585.0,89.99,200.0,264.0,avanserte
Skull Sorcerer's Dragon,NINJAGO,1016.0,79.99,200.0,303.0,normale
Vibe City Concert,Trolls World Tour,494.0,59.99,204.0,216.0,normale
Alpaca Mountain Jungle Rescue,Friends,512.0,59.99,208.0,270.0,normale
Pigsy's Food Truck,Monkie Kid,455.0,69.99,212.0,299.0,avanserte
Concrete Mixer Truck,Technic,1163.0,119.99,216.0,127.0,avanserte
Heartlake City Brick Box,Friends,321.0,39.99,220.0,121.0,normale
Y-wing Starfighter,Star Wars,1967.0,199.99,220.0,359.0,normale
Mickey Mouse and Minnie Mouse,Disney,1739.0,179.99,236.0,420.0,normale
Red Son's Inferno Truck,Monkie Kid,1111.0,119.99,244.0,350.0,avanserte
Skull Sorcerer's Dungeons,NINJAGO,1171.0,99.99,256.0,425.0,normale
Monkey King Warrior Mech,Monkie Kid,975.0,149.99,272.0,435.0,avanserte
Haunted House,Creator Expert,3231.0,249.99,312.0,467.0,avanserte
Destiny's Bounty,NINJAGO,1781.0,129.99,316.0,479.0,normale
Ski Resort,City,806.0,89.99,328.0,348.0,normale
Disney Train and Station,Powered UP,2925.0,329.99,397.0,509.0,avanserte
1989 Batmobile,Batman,3306.0,249.99,404.0,484.0,normale
Tree House,Ideas,3036.0,199.99,428.0,482.0,avanserte
Welcome to Apocalypseburg!,THE LEGO MOVIE 2,3178.0,299.99,452.0,692.0,normale
Jurassic Park: T. rex Rampage,Jurassic World,3120.0,249.99,464.0,525.0,normale
Monkie Kid's Team Secret HQ,Monkie Kid,1105.0,169.99,556.0,622.0,avanserte
Grand Piano,Ideas,3662.0,349.99,564.0,345.0,avanserte
Lamborghini Sián FKP 37,Technic,3696.0,379.99,657.0,293.0,avanserte
